id,title,year,venue,n_citation,in_degree
3564c942-2b33-4871-abe9-dfd20a8b8aef,A fast distributed algorithm for mining association rules,1996,,654,58
369af16a-14b2-4464-a85d-a6d4d7256c1f,Using predictable observer mobility for power efficient design of sensor networks,2003,information processing in sensor networks,436,90
37f7e41e-64f9-409d-be65-5ce0406b6feb,Stochastic Pooling for Regularization of Deep Convolutional Neural Networks,2013,international conference on learning representations,390,106
39058eb5-778f-41eb-85aa-fc630f5c2d92,Domain-Specific Keyphrase Extraction,1999,international joint conference on artificial intelligence,734,124
3b1b6ffe-75aa-45d1-9f3e-dadd4479a272,Depth discontinuities by pixel-to-pixel stereo,1998,international conference on computer vision,776,53
3d1d29d1-5720-41e0-a984-6882b9774566,Link-based Classification,2003,international conference on machine learning,427,113
3f3a740a-3cef-4bc1-a36d-5a197ab388da,Stochastic Backpropagation and Approximate Inference in Deep Generative Models,2014,international conference on machine learning,667,169
3f7cda30-88d6-409b-b4dc-a6ba32fcd984,Self-assembling machine,1994,international conference on robotics and automation,506,95
4164a2ea-b775-4e6a-b35c-2c0e738ad290,Energy-aware partitioning for multiprocessor real-time systems,2003,international parallel and distributed processing symposium,317,81
42b7a9eb-eb30-401e-bad2-8a720f47e54b,Supervised Discrete Hashing,2015,computer vision and pattern recognition,303,78
43ab6f79-c5f9-4723-8d9c-aab9a96ecaf6,Recognizing human action in time-sequential images using hidden Markov model,1992,computer vision and pattern recognition,1633,281
43d6bc4a-fbe5-4f2d-8695-cd9c96a271c2,Edge-directed interpolation,1996,international conference on image processing,154,80
43fd54c4-1948-41f8-9e23-c4342967c483,SegNet: A Deep Convolutional Encoder-Decoder Architecture for Image Segmentation,2017,IEEE Transactions on Pattern Analysis and Machine Intelligence,104,84
440ba1f2-d16f-4b2c-9b6a-0b9ebc244388,Design patterns for object-oriented software development (tutorial),1997,international conference on software engineering,987,107
44173f4e-aee8-4008-8953-0af5ed7da5dc,"Scalable, behavior-based malware clustering",2009,network and distributed system security symposium,510,89
44d91dea-fe91-408d-810c-63e5889f7c8a,ICONDENSATION: Unifying Low-Level and High-Level Tracking in a Stochastic Framework,1998,european conference on computer vision,845,197
463623d9-06f4-49b9-813f-21f78d726f3b,OBSERVER: An Approach for Query Processing in Global Information Systems Based on Interoperation Across Pre-Existing Ontologies,2000,Distributed and Parallel Databases,949,93
46e89ea1-d318-4f70-9775-04426fa8c86b,"TRIPLE - A Query, Inference, and Transformation Language for the Semantic Web",2002,international semantic web conference,618,51
48256bd6-01d8-41f8-828e-d2d0876d47e8,A Paradoxical Indentity-Based Signature Scheme Resulting from Zero-Knowledge,1988,international cryptology conference,549,60
4935259d-fca4-454d-9128-6dfed1c72357,Estimating continuous distributions in Bayesian classifiers,1995,uncertainty in artificial intelligence,2827,453
49803a11-41a5-44cf-91e9-087d680149be,The MagicBook - moving seamlessly between reality and virtuality,2001,IEEE Computer Graphics and Applications,668,95
4ac82f83-16d4-4877-a118-aa5e366f3dda,Permission re-delegation: attacks and defenses,2011,usenix security symposium,457,98
4acafdd8-6c15-486f-a2ae-ef79677fc50b,Estimating curvatures and their derivatives on triangle meshes,2004,,402,77
4b14896c-cc68-49bc-a9be-76f0dbdd8f6e,Efficient large-scale stereo matching,2010,asian conference on computer vision,541,103
4c43ee71-e19b-478d-9aec-c2c8b77f71f9,A Simple Generalisation of the Area Under the ROC Curve for Multiple Class Classification Problems,2001,Machine Learning,572,180
4d995a4f-c52b-4e56-9b4e-3518ae069c90,Segmentation and Recognition Using Structure from Motion Point Clouds,2008,european conference on computer vision,448,104
4e203151-1ee5-4e2b-b23e-29843244ef99,Squealing Euros: Privacy protection in RFID-enabled banknotes,2003,financial cryptography,577,42
