title,year,citation_count
Distinctive Image Features from Scale-Invariant Keypoints,2004,16229
LIBSVM: A library for support vector machines,2011,13475
"Genetic Algorithms in Search, Optimization and Machine Learning",1989,13267
Histograms of oriented gradients for human detection,2005,8477
Random Forests,2001,7968
C4.5: Programs for Machine Learning,1993,6906
A fast and elitist multiobjective genetic algorithm: NSGA-II,2002,6696
Support-Vector Networks,1995,6683
Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference,1988,6589
"Perceived usefulness, perceived ease of use, and user acceptance of information technology",1989,6524
